Apartment_Name,Floor Plan,Apartment_Price,Complete Unit,Furnished,Utilities_included,Pet Friendly,Gym_and_Pool,In-Unit Laundry,Recreation areas,Free Parking,Apartment_Bus_stop,Apartment_Bus_no.,Fishpond,MSC,Zachary_Engineering,Reed Arena,Mays Business School,Rellis,Overall,Website,Contact No.,Address
Aggie Station,"3,3",874,N,Y,N,Y,Y,Y,Y,N,Y,15,1.00 ,1.30 ,1.20 ,1.60 ,1.40 ,9.20 ,4.3,https://aggiesearch.tamu.edu/housing/property/aggie-station-apartments/ocp7rzt1bw,(979) 213-6793,"4151 Wellborn Road, Bryan, TX 77801"
Aggie Station,"2,2",924,N,Y,N,Y,Y,Y,Y,N,Y,15,1.00 ,1.30 ,1.20 ,1.60 ,1.40 ,9.20 ,4.3,https://aggiesearch.tamu.edu/housing/property/aggie-station-apartments/ocp7rzt1bw,(979) 213-6793,"4151 Wellborn Road, Bryan, TX 77801"
Country Place Apartment Homes,"1,1",855,Y,Y,N,Y,Y,Y,Y,N,N,0,1.00 ,1.10 ,1.20 ,1.80 ,1.50 ,10.20 ,3.3,https://www.originalmanagement.net,(979) 691-6200,3902 College Main
Saddlewood Club,"3,2",1113,N,N,N,Y,Y,Y,Y,Y,Y,15,1.70 ,1.90 ,1.90 ,1.80 ,1.40 ,6.60 ,3.2,https://www.saddlewoodclub.com/#main-banner,(979) 318-3994,3625 Wellborn rd
Saddlewood Club,"2,2",971,N,N,N,Y,Y,Y,Y,Y,Y,15,1.70 ,1.90 ,1.90 ,1.80 ,1.40 ,6.60 ,3.2,https://www.saddlewoodclub.com/#main-banner,(979) 318-3994,3625 Wellborn rd
Saddlewood Club,"1,1",816,Y,N,N,Y,Y,Y,Y,Y,Y,15,1.70 ,1.90 ,1.90 ,1.80 ,1.40 ,6.60 ,3.2,https://www.saddlewoodclub.com/#main-banner,(979) 318-3994,3625 Wellborn rd
OTTO ,"6,6",989,N,Y,N,Y,Y,Y,Y,N,Y,15,0.50 ,0.70 ,0.90 ,1.10 ,0.80 ,9.50 ,4.9,https://ottostudentliving.com, (979) 213-6776,"401 First St, College Station, TX 77840"
OTTO ,"5,5",1029,N,Y,N,Y,Y,Y,Y,N,Y,15,0.50 ,0.70 ,0.90 ,1.10 ,0.80 ,9.50 ,4.9,https://ottostudentliving.com, (979) 213-6776,"401 First St, College Station, TX 77840"
OTTO ,"4,4",1099,N,Y,N,Y,Y,Y,Y,N,Y,15,0.50 ,0.70 ,0.90 ,1.10 ,0.80 ,9.50 ,4.9,https://ottostudentliving.com, (979) 213-6776,"401 First St, College Station, TX 77840"
OTTO ,"3,3",1129,N,Y,N,Y,Y,Y,Y,N,Y,15,0.50 ,0.70 ,0.90 ,1.10 ,0.80 ,9.50 ,4.9,https://ottostudentliving.com, (979) 213-6776,"401 First St, College Station, TX 77840"
OTTO ,"2,2",1279,N,Y,N,Y,Y,Y,Y,N,Y,15,0.50 ,0.70 ,0.90 ,1.10 ,0.80 ,9.50 ,4.9,https://ottostudentliving.com, (979) 213-6776,"401 First St, College Station, TX 77840"
OTTO ,"1,1",1659,Y,Y,N,Y,Y,Y,Y,N,Y,15,0.50 ,0.70 ,0.90 ,1.10 ,0.80 ,9.50 ,4.9,https://ottostudentliving.com, (979) 213-6776,"401 First St, College Station, TX 77840"
OTTO ,"0,0",1449,Y,Y,N,Y,Y,Y,Y,N,Y,15,0.50 ,0.70 ,0.90 ,1.10 ,0.80 ,9.50 ,4.9,https://ottostudentliving.com, (979) 213-6776,"401 First St, College Station, TX 77840"
REV,"6,6",1249,N,Y,N,Y,Y,Y,Y,N,Y,15,0.40 ,0.50 ,0.60 ,1.20 ,0.90 ,9.60 ,4.7,https://revstudentliving.com, (979) 589-7141,"315 College Main St Suite 110, College Station, TX 77840"
REV,"5,5",1099,N,Y,N,Y,Y,Y,Y,N,Y,15,0.40 ,0.50 ,0.60 ,1.20 ,0.90 ,9.60 ,4.7,https://revstudentliving.com, (979) 589-7141,"315 College Main St Suite 110, College Station, TX 77840"
REV,"4,4",1259,N,Y,N,Y,Y,Y,Y,N,Y,15,0.40 ,0.50 ,0.60 ,1.20 ,0.90 ,9.60 ,4.7,https://revstudentliving.com, (979) 589-7141,"315 College Main St Suite 110, College Station, TX 77840"
REV,"3,3",1359,N,Y,N,Y,Y,Y,Y,N,Y,15,0.40 ,0.50 ,0.60 ,1.20 ,0.90 ,9.60 ,4.7,https://revstudentliving.com, (979) 589-7141,"315 College Main St Suite 110, College Station, TX 77840"
REV,"2,2",1469,N,Y,N,Y,Y,Y,Y,N,Y,15,0.40 ,0.50 ,0.60 ,1.20 ,0.90 ,9.60 ,4.7,https://revstudentliving.com, (979) 589-7141,"315 College Main St Suite 110, College Station, TX 77840"
REV,"1,1",2199,Y,Y,N,Y,Y,Y,Y,N,Y,15,0.40 ,0.50 ,0.60 ,1.20 ,0.90 ,9.60 ,4.7,https://revstudentliving.com, (979) 589-7141,"315 College Main St Suite 110, College Station, TX 77840"
REV,"0,0",1799,Y,Y,N,Y,Y,Y,Y,N,Y,15,0.40 ,0.50 ,0.60 ,1.20 ,0.90 ,9.60 ,4.7,https://revstudentliving.com, (979) 589-7141,"315 College Main St Suite 110, College Station, TX 77840"
Aspire College station,"6,6",1059,N,Y,N,Y,Y,Y,Y,Y,N,0,0.40 ,0.60 ,0.30 ,1.30 ,1.00 ,9.70 ,4.4,https://www.aspirecollegestation.com, (979) 316-2853,"711 University Dr, College Station, TX 77840"
Aspire College station,"5,5",1019,N,Y,N,Y,Y,Y,Y,Y,N,0,0.40 ,0.60 ,0.30 ,1.30 ,1.00 ,9.70 ,4.4,https://www.aspirecollegestation.com, (979) 316-2853,"711 University Dr, College Station, TX 77840"
Aspire College station,"4,4",1219,N,Y,N,Y,Y,Y,Y,Y,N,0,0.40 ,0.60 ,0.30 ,1.30 ,1.00 ,9.70 ,4.4,https://www.aspirecollegestation.com, (979) 316-2853,"711 University Dr, College Station, TX 77840"
Aspire College station,"2,2",1479,N,Y,N,Y,Y,Y,Y,Y,N,0,0.40 ,0.60 ,0.30 ,1.30 ,1.00 ,9.70 ,4.4,https://www.aspirecollegestation.com, (979) 316-2853,"711 University Dr, College Station, TX 77840"
Aspire College station,"1,1",2219,Y,Y,N,Y,Y,Y,Y,Y,N,0,0.40 ,0.60 ,0.30 ,1.30 ,1.00 ,9.70 ,4.4,https://www.aspirecollegestation.com, (979) 316-2853,"711 University Dr, College Station, TX 77840"
The Stack,"4,4",950,N,Y,N,Y,Y,Y,Y,Y,N,0,0.55 ,0.70 ,0.30 ,1.40 ,1.10 ,9.80 ,3.6,https://stackstudentliving.com,(979) 314-7669,"711 Church Avenue
College Station, TX 77840"
The Stack,"3,3",1025,N,Y,N,Y,Y,Y,Y,Y,N,0,0.55 ,0.70 ,0.30 ,1.40 ,1.10 ,9.80 ,3.6,https://stackstudentliving.com,(979) 314-7669,"711 Church Avenue
College Station, TX 77840"
The Stack,"2,2",1050,N,Y,N,Y,Y,Y,Y,Y,N,0,0.55 ,0.70 ,0.30 ,1.40 ,1.10 ,9.80 ,3.6,https://stackstudentliving.com,(979) 314-7669,"711 Church Avenue
College Station, TX 77840"
The Stack,"1,1",1600,Y,Y,N,Y,Y,Y,Y,Y,N,0,0.55 ,0.70 ,0.30 ,1.40 ,1.10 ,9.80 ,3.6,https://stackstudentliving.com,(979) 314-7669,"711 Church Avenue
College Station, TX 77840"
The Gardens at University Apartments,"2,2",951,N,Y,N,Y,Y,Y,Y,Y,N,0,0.55 ,0.70 ,0.30 ,1.40 ,1.10 ,9.80 ,3.8,https://reslife.tamu.edu,(888) 451-3896,"1100 Hensel Dr
Bryan, TX 77840
United States"
The Gardens at University Apartments,"2,1",812,N,Y,N,Y,Y,Y,Y,Y,N,0,0.55 ,0.70 ,0.30 ,1.40 ,1.10 ,9.80 ,3.8,https://reslife.tamu.edu,(888) 451-3896,"1100 Hensel Dr
Bryan, TX 77840
United States"
The Gardens at University Apartments,"1,1",1101,Y,Y,N,Y,Y,Y,Y,Y,N,0,0.55 ,0.70 ,0.30 ,1.40 ,1.10 ,9.80 ,3.8,https://reslife.tamu.edu,(888) 451-3896,"1100 Hensel Dr
Bryan, TX 77840
United States"
Sonoma Apartment homes,"1,1",895,Y,N,N,Y,Y,N,Y,Y,Y,22,2.60 ,2.90 ,2.40 ,3.10 ,3.60 ,12.70 ,4.6,https://www.sonomaapartmenthomes.com/,979-696-7275,1903 Dartmouth St
Sonoma Apartment homes,"2,1",950,Y,N,N,Y,Y,N,Y,Y,Y,22,2.60 ,2.90 ,2.40 ,3.10 ,3.60 ,12.70 ,4.6,https://www.sonomaapartmenthomes.com/,979-696-7275,1903 Dartmouth St
Sonoma Apartment homes,"2,2",995,Y,N,N,Y,Y,N,Y,Y,Y,22,2.60 ,2.90 ,2.40 ,3.10 ,3.60 ,12.70 ,4.6,https://www.sonomaapartmenthomes.com/,979-696-7275,1903 Dartmouth St
Sonoma Apartment homes,"2,2",1095,Y,N,N,Y,Y,Y,Y,Y,Y,22,2.60 ,2.90 ,2.40 ,3.10 ,3.60 ,12.70 ,4.6,https://www.sonomaapartmenthomes.com/,979-696-7275,1903 Dartmouth St
Lofts at Wolf Pen Creek,"1,1",1399,N,Y,N,Y,Y,Y,Y,Y,Y,27,2.70 ,3.00 ,2.50 ,3.20 ,3.70 ,15.80 ,3.8,https://www.loftsatwolfpen.com/?utm_source=google&utm_medium=google%20my%20business&utm_campaign=website%20button,979-314-1900,614 Holleman Dr E
Lofts at Wolf Pen Creek,"2,2",849,N,Y,N,Y,Y,Y,Y,Y,Y,27,2.70 ,3.00 ,2.50 ,3.20 ,3.70 ,15.80 ,3.8,https://www.loftsatwolfpen.com/?utm_source=google&utm_medium=google%20my%20business&utm_campaign=website%20button,979-314-1900,614 Holleman Dr E
Lofts at Wolf Pen Creek,"2,2.5",849,N,Y,N,Y,Y,Y,Y,Y,Y,27,2.70 ,3.00 ,2.50 ,3.20 ,3.70 ,15.80 ,3.8,https://www.loftsatwolfpen.com/?utm_source=google&utm_medium=google%20my%20business&utm_campaign=website%20button,979-314-1900,614 Holleman Dr E
Lofts at Wolf Pen Creek,"3,3",789,N,Y,N,Y,Y,Y,Y,Y,Y,27,2.70 ,3.00 ,2.50 ,3.20 ,3.70 ,15.80 ,3.8,https://www.loftsatwolfpen.com/?utm_source=google&utm_medium=google%20my%20business&utm_campaign=website%20button,979-314-1900,614 Holleman Dr E
Lofts at Wolf Pen Creek,"4,2",439,N,Y,N,Y,Y,Y,Y,Y,Y,27,2.70 ,3.00 ,2.50 ,3.20 ,3.70 ,15.80 ,3.8,https://www.loftsatwolfpen.com/?utm_source=google&utm_medium=google%20my%20business&utm_campaign=website%20button,979-314-1900,614 Holleman Dr E
Lofts at Wolf Pen Creek,"4,4",709,N,Y,N,Y,Y,Y,Y,Y,Y,27,2.70 ,3.00 ,2.50 ,3.20 ,3.70 ,15.80 ,3.8,https://www.loftsatwolfpen.com/?utm_source=google&utm_medium=google%20my%20business&utm_campaign=website%20button,979-314-1900,614 Holleman Dr E
Arbors at Wolf Pen Creek,"1,1",1099,Y,N,N,Y,Y,Y,Y,Y,Y,27,2.50 ,3.20 ,2.50 ,3.00 ,3.50 ,12.50 ,2.6,https://www.myarbors.com/,979-325-2175,301 Holleman Drive
Arbors at Wolf Pen Creek,"2,2",1369,Y,N,N,Y,Y,Y,Y,Y,Y,27,2.50 ,3.20 ,2.50 ,3.00 ,3.50 ,12.50 ,2.6,https://www.myarbors.com/,979-325-2175,301 Holleman Drive
Arbors at Wolf Pen Creek,"3,2",1549,Y,N,N,Y,Y,Y,Y,Y,Y,27,2.50 ,3.20 ,2.50 ,3.00 ,3.50 ,12.50 ,2.6,https://www.myarbors.com/,979-325-2175,301 Holleman Drive
The Ridge,"1,1",935,Y,N,N,Y,Y,Y,Y,Y,Y,26,3.20 ,3.90 ,3.20 ,3.60 ,4.20 ,14.30 ,3.9,https://www.ridgeapartments.com/,979-314-0997,2250 Dartmouth St
The Ridge,"2,1",1109,Y,N,N,Y,Y,Y,Y,Y,Y,26,3.20 ,3.90 ,3.20 ,3.60 ,4.20 ,14.30 ,3.9,https://www.ridgeapartments.com/,979-314-0997,2250 Dartmouth St
The Ridge,"2,2",1119,Y,N,N,Y,Y,Y,Y,Y,Y,26,3.20 ,3.90 ,3.20 ,3.60 ,4.20 ,14.30 ,3.9,https://www.ridgeapartments.com/,979-314-0997,2250 Dartmouth St
The Ridge,"3,2",1369,Y,N,N,Y,Y,Y,Y,Y,Y,26,3.20 ,3.90 ,3.20 ,3.60 ,4.20 ,14.30 ,3.9,https://www.ridgeapartments.com/,979-314-0997,2250 Dartmouth St
The Trails at Wolf Pen,"1,1",969,Y,N,N,Y,Y,Y,Y,Y,Y,26,3.50 ,4.20 ,3.40 ,3.90 ,4.50 ,14.40 ,3.0,https://www.thetrailsatwolfpencreek.com/,933-360-2616,950 Colgate Dr
The Trails at Wolf Pen,"2,1.5",579,N,N,N,Y,Y,Y,Y,Y,Y,26,3.50 ,4.20 ,3.40 ,3.90 ,4.50 ,14.40 ,3.0,https://www.thetrailsatwolfpencreek.com/,933-360-2616,950 Colgate Dr
The Trails at Wolf Pen,"2,1.5",1158,Y,N,N,Y,Y,Y,Y,Y,Y,26,3.50 ,4.20 ,3.40 ,3.90 ,4.50 ,14.40 ,3.0,https://www.thetrailsatwolfpencreek.com/,933-360-2616,950 Colgate Dr
The Trails at Wolf Pen,"2,2",629,N,N,N,Y,Y,Y,Y,Y,Y,26,3.50 ,4.20 ,3.40 ,3.90 ,4.50 ,14.40 ,3.0,https://www.thetrailsatwolfpencreek.com/,933-360-2616,950 Colgate Dr
The Trails at Wolf Pen,"2,2",1258,Y,N,N,Y,Y,Y,Y,Y,Y,26,3.50 ,4.20 ,3.40 ,3.90 ,4.50 ,14.40 ,3.0,https://www.thetrailsatwolfpencreek.com/,933-360-2616,950 Colgate Dr
The Trails at Wolf Pen,"4,2",409,N,N,N,Y,Y,Y,Y,Y,Y,26,3.50 ,4.20 ,3.40 ,3.90 ,4.50 ,14.40 ,3.0,https://www.thetrailsatwolfpencreek.com/,933-360-2616,950 Colgate Dr
The Trails at Wolf Pen,"4,2",1636,Y,N,N,Y,Y,Y,Y,Y,Y,26,3.50 ,4.20 ,3.40 ,3.90 ,4.50 ,14.40 ,3.0,https://www.thetrailsatwolfpencreek.com/,933-360-2616,950 Colgate Dr
Parcside Townhomes,"2,2",1109,Y,N,N,Y,Y,Y,Y,Y,Y,26,3.50 ,4.20 ,3.40 ,3.90 ,4.50 ,14.40 ,3.7,https://www.parcsidetownhomes.com/?utm_source=GoogleLocalListing&utm_medium=organic,979-378-6243,2500 Central Park Ln
Parcside Townhomes,"3,2",1223,Y,N,N,Y,Y,Y,Y,Y,Y,26,3.50 ,4.20 ,3.40 ,3.90 ,4.50 ,14.40 ,3.7,https://www.parcsidetownhomes.com/?utm_source=GoogleLocalListing&utm_medium=organic,979-378-6243,2500 Central Park Ln
The Point on Redmond,"2,1",905,Y,N,N,Y,Y,Y,N,Y,Y,27,2.70 ,2.50 ,1.90 ,2.20 ,2.80 ,12.00 ,3.7,https://www.pointonredmond.com/,979-364-4109,309 Redmond dr
The Point on Redmond,"2,1.5",905,Y,N,N,Y,Y,Y,N,Y,Y,27,2.70 ,2.50 ,1.90 ,2.20 ,2.80 ,12.00 ,3.7,https://www.pointonredmond.com/,979-364-4109,309 Redmond dr
Redstone,"2,1",769,Y,N,N,Y,Y,N,Y,Y,Y,26,3.30 ,3.20 ,2.70 ,2.90 ,3.50 ,13.80 ,3.1,https://www.liveatredstonecollegestation.com/,979-696-1848,1301 Barthelow Dr
Redstone,"2,1",799,Y,N,N,Y,Y,Y,Y,Y,Y,26,3.30 ,3.20 ,2.70 ,2.90 ,3.50 ,13.80 ,3.1,https://www.liveatredstonecollegestation.com/,979-696-1848,1301 Barthelow Dr
Arbor Square,"1,1",749,Y,N,N,Y,Y,N,Y,Y,Y,26,3.30 ,3.20 ,2.80 ,2.90 ,3.50 ,13.20 ,2.8,https://www.liveatarborsquarecollegestation.com/,979-693-3701,1700 Southwest Pkwy
Arbor Square,"2,2",849,Y,N,N,Y,Y,N,Y,Y,Y,26,3.30 ,3.20 ,2.80 ,2.90 ,3.50 ,13.20 ,2.8,https://www.liveatarborsquarecollegestation.com/,979-693-3701,1700 Southwest Pkwy
Dwell @ 1600,"1,1",810,Y,N,N,Y,Y,N,N,Y,Y,26,3.20 ,3.20 ,3.20 ,2.90 ,3.50 ,13.10 ,3.8,https://www.dwellat1600.com/?utm_knock=gmb,972-645-2815,1600 Southwest Pkwy
Dwell @ 1600,"2,1.5",925,Y,N,N,Y,Y,N,N,Y,Y,26,3.20 ,3.20 ,3.20 ,2.90 ,3.50 ,13.10 ,3.8,https://www.dwellat1600.com/?utm_knock=gmb,972-645-2815,1600 Southwest Pkwy
Dwell @ 1600,"2,2",980,Y,N,N,Y,Y,N,N,Y,Y,26,3.20 ,3.20 ,3.20 ,2.90 ,3.50 ,13.10 ,3.8,https://www.dwellat1600.com/?utm_knock=gmb,972-645-2815,1600 Southwest Pkwy
Dwell @ 1600,"3,2",1200,Y,N,N,Y,Y,N,N,Y,Y,26,3.20 ,3.20 ,3.20 ,2.90 ,3.50 ,13.10 ,3.8,https://www.dwellat1600.com/?utm_knock=gmb,972-645-2815,1600 Southwest Pkwy
