Apartment_Name,Floor Plan,Apartment_Price,Complete Unit,Furnished,Utilities_included,Pet Friendly,Gym_and_Pool,In-Unit Laundry,Recreation areas,Free Parking,Apartment_Bus_stop,Apartment_Bus_no.,Fishpond,MSC,Zachary_Engineering,Reed Arena,Mays Business School,Rellis,Overall,Website,Contact No.,Address
The standard at collage station,"6,6",$870.00,N,Y,N,Y,Y,Y,Y,N,Y,15,0.40 ,0.60 ,0.70 ,1.10 ,0.80 ,9.50 ,3.8,https://thestandardcollegestation.landmark-properties.com,(979) 314-0505,"315 Boyett St.College Station, TX 77840"
The standard at collage station,"5,5",$895.00,N,Y,N,Y,Y,Y,Y,N,Y,15,0.40 ,0.60 ,0.70 ,1.10 ,0.80 ,9.50 ,3.8,https://thestandardcollegestation.landmark-properties.com,(979) 314-0505,"315 Boyett St.College Station, TX 77840"
The standard at collage station,"5,3",$840.00,N,Y,N,Y,Y,Y,Y,N,Y,15,0.40 ,0.60 ,0.70 ,1.10 ,0.80 ,9.50 ,3.8,https://thestandardcollegestation.landmark-properties.com,(979) 314-0505,"315 Boyett St.College Station, TX 77840"
The standard at collage station,"4,4",$960.00,N,Y,N,Y,Y,Y,Y,N,Y,15,0.40 ,0.60 ,0.70 ,1.10 ,0.80 ,9.50 ,3.8,https://thestandardcollegestation.landmark-properties.com,(979) 314-0505,"315 Boyett St.College Station, TX 77840"
The standard at collage station,"3,3","$1,030.00",N,Y,N,Y,Y,Y,Y,N,Y,15,0.40 ,0.60 ,0.70 ,1.10 ,0.80 ,9.50 ,3.8,https://thestandardcollegestation.landmark-properties.com,(979) 314-0505,"315 Boyett St.College Station, TX 77840"
The standard at collage station,"2,2","$1,175.00",N,Y,N,Y,Y,Y,Y,N,Y,15,0.40 ,0.60 ,0.70 ,1.10 ,0.80 ,9.50 ,3.8,https://thestandardcollegestation.landmark-properties.com,(979) 314-0505,"315 Boyett St.College Station, TX 77840"
The standard at collage station,"1,1","$1,355.00",Y,Y,N,Y,Y,Y,Y,N,Y,15,0.40 ,0.60 ,0.70 ,1.10 ,0.80 ,9.50 ,3.8,https://thestandardcollegestation.landmark-properties.com,(979) 314-0505,"315 Boyett St.College Station, TX 77840"
Cherry Street Apartments at Northgate,"2,2",$989.00,N,Y,N,Y,Y,Y,Y,N,Y,15,0.50 ,0.60 ,0.70 ,1.10 ,0.80 ,9.50 ,3.8,https://www.cherrystreetapts.com,1 979-608-7013,"200 Cherry St
College Station, TX 77840"
Cherry Street Apartments at Northgate,"1,1","$1,289.00",Y,Y,N,Y,Y,Y,Y,N,Y,15,0.50 ,0.70 ,0.80 ,1.20 ,0.90 ,9.60 ,3.8,https://www.cherrystreetapts.com,1 979-608-7013,"200 Cherry St
College Station, TX 77840"
Lark Northgate,"5,5",$799.00,N,Y,N,Y,Y,Y,Y,N,Y,15,0.80 ,0.90 ,1.10 ,1.20 ,1.10 ,9.30 ,3.8,https://larknorthgate.com,(361) 349-4567,"500 Wellborn Road
College Station, Texas"
Lark Northgate,"4,4",$819.00,N,Y,N,Y,Y,Y,Y,N,Y,15,0.80 ,0.90 ,1.10 ,1.20 ,1.10 ,9.30 ,3.8,https://larknorthgate.com,(361) 349-4567,"500 Wellborn Road
College Station, Texas"
Lark Northgate,"2,2","$1,109.00",N,Y,N,Y,Y,Y,Y,N,Y,15,0.80 ,0.90 ,1.10 ,1.20 ,1.10 ,9.30 ,3.8,https://larknorthgate.com,(361) 349-4567,"500 Wellborn Road
College Station, Texas"
Lark Northgate,"1,1","$1,449.00",Y,Y,N,Y,Y,Y,Y,N,Y,15,0.80 ,0.90 ,1.10 ,1.20 ,1.10 ,9.30 ,3.8,https://larknorthgate.com,(361) 349-4567,"500 Wellborn Road
College Station, Texas"
College Main Apartments,"2,1.5",$839.00,N,Y,N,Y,Y,Y,Y,N,Y,15,0.80 ,0.90 ,1.00 ,1.60 ,1.30 ,9.40 ,3.2,https://www.liveatcollegemaincollegestation.com,(979) 846-2089,"4302 College Main Bryan, TX 77801"
College Main Apartments,"2,1",$779.00,N,Y,N,Y,Y,Y,Y,N,Y,15,0.80 ,0.90 ,1.00 ,1.60 ,1.30 ,9.40 ,3.2,https://www.liveatcollegemaincollegestation.com,(979) 846-2089,"4302 College Main Bryan, TX 77801"
College Main Apartments,"1,1",$739.00,N,Y,N,Y,Y,Y,Y,N,Y,15,0.80 ,0.90 ,1.00 ,1.60 ,1.30 ,9.40 ,3.2,https://www.liveatcollegemaincollegestation.com,(979) 846-2089,"4302 College Main Bryan, TX 77801"
Aggie Station,"4,4",$844.00,N,Y,N,Y,Y,Y,Y,N,Y,15,1.00 ,1.30 ,1.20 ,1.60 ,1.40 ,9.20 ,4.3,https://aggiesearch.tamu.edu/housing/property/aggie-station-apartments/ocp7rzt1bw,(979) 213-6793,"4151 Wellborn Road, Bryan, TX 77801"
Aggie Station,"3,3",$874.00,N,Y,N,Y,Y,Y,Y,N,Y,15,1.00 ,1.30 ,1.20 ,1.60 ,1.40 ,9.20 ,4.3,https://aggiesearch.tamu.edu/housing/property/aggie-station-apartments/ocp7rzt1bw,(979) 213-6793,"4151 Wellborn Road, Bryan, TX 77801"
Aggie Station,"2,2",$924.00,N,Y,N,Y,Y,Y,Y,N,Y,15,1.00 ,1.30 ,1.20 ,1.60 ,1.40 ,9.20 ,4.3,https://aggiesearch.tamu.edu/housing/property/aggie-station-apartments/ocp7rzt1bw,(979) 213-6793,"4151 Wellborn Road, Bryan, TX 77801"
Country Place Apartment Homes,"1,1",$855.00,Y,Y,N,Y,Y,Y,Y,N,N,,1.00 ,1.10 ,1.20 ,1.80 ,1.50 ,10.20 ,3.3,https://www.originalmanagement.net,(979) 691-6200,3902 College Main
Saddlewood Club,"3,2","$1,113.00",N,N,N,Y,Y,Y,Y,Y,Y,15,1.70 ,1.90 ,1.90 ,1.80 ,1.40 ,6.60 ,3.2,https://www.saddlewoodclub.com/#main-banner,(979) 318-3994,3625 Wellborn rd
Saddlewood Club,"2,2",$971.00,N,N,N,Y,Y,Y,Y,Y,Y,15,1.70 ,1.90 ,1.90 ,1.80 ,1.40 ,6.60 ,3.2,https://www.saddlewoodclub.com/#main-banner,(979) 318-3994,3625 Wellborn rd
Saddlewood Club,"1,1",$816.00,Y,N,N,Y,Y,Y,Y,Y,Y,15,1.70 ,1.90 ,1.90 ,1.80 ,1.40 ,6.60 ,3.2,https://www.saddlewoodclub.com/#main-banner,(979) 318-3994,3625 Wellborn rd
OTTO ,"6,6",$989.00,N,Y,N,Y,Y,Y,Y,N,Y,15,0.50 ,0.70 ,0.90 ,1.10 ,0.80 ,9.50 ,4.9,https://ottostudentliving.com, (979) 213-6776,"401 First St, College Station, TX 77840"
OTTO ,"5,5","$1,029.00",N,Y,N,Y,Y,Y,Y,N,Y,15,0.50 ,0.70 ,0.90 ,1.10 ,0.80 ,9.50 ,4.9,https://ottostudentliving.com, (979) 213-6776,"401 First St, College Station, TX 77840"
OTTO ,"4,4","$1,099.00",N,Y,N,Y,Y,Y,Y,N,Y,15,0.50 ,0.70 ,0.90 ,1.10 ,0.80 ,9.50 ,4.9,https://ottostudentliving.com, (979) 213-6776,"401 First St, College Station, TX 77840"
OTTO ,"3,3","$1,129.00",N,Y,N,Y,Y,Y,Y,N,Y,15,0.50 ,0.70 ,0.90 ,1.10 ,0.80 ,9.50 ,4.9,https://ottostudentliving.com, (979) 213-6776,"401 First St, College Station, TX 77840"
OTTO ,"2,2","$1,279.00",N,Y,N,Y,Y,Y,Y,N,Y,15,0.50 ,0.70 ,0.90 ,1.10 ,0.80 ,9.50 ,4.9,https://ottostudentliving.com, (979) 213-6776,"401 First St, College Station, TX 77840"
OTTO ,"1,1","$1,659.00",Y,Y,N,Y,Y,Y,Y,N,Y,15,0.50 ,0.70 ,0.90 ,1.10 ,0.80 ,9.50 ,4.9,https://ottostudentliving.com, (979) 213-6776,"401 First St, College Station, TX 77840"
OTTO ,"0,0","$1,449.00",Y,Y,N,Y,Y,Y,Y,N,Y,15,0.50 ,0.70 ,0.90 ,1.10 ,0.80 ,9.50 ,4.9,https://ottostudentliving.com, (979) 213-6776,"401 First St, College Station, TX 77840"
REV,"6,6","$1,249.00",N,Y,N,Y,Y,Y,Y,N,Y,15,0.40 ,0.50 ,0.60 ,1.20 ,0.90 ,9.60 ,4.7,https://revstudentliving.com, (979) 589-7141,"315 College Main St Suite 110, College Station, TX 77840"
REV,"5,5","$1,099.00",N,Y,N,Y,Y,Y,Y,N,Y,15,0.40 ,0.50 ,0.60 ,1.20 ,0.90 ,9.60 ,4.7,https://revstudentliving.com, (979) 589-7141,"315 College Main St Suite 110, College Station, TX 77840"
REV,"4,4","$1,259.00",N,Y,N,Y,Y,Y,Y,N,Y,15,0.40 ,0.50 ,0.60 ,1.20 ,0.90 ,9.60 ,4.7,https://revstudentliving.com, (979) 589-7141,"315 College Main St Suite 110, College Station, TX 77840"
REV,"3,3","$1,359.00",N,Y,N,Y,Y,Y,Y,N,Y,15,0.40 ,0.50 ,0.60 ,1.20 ,0.90 ,9.60 ,4.7,https://revstudentliving.com, (979) 589-7141,"315 College Main St Suite 110, College Station, TX 77840"
REV,"2,2","$1,469.00",N,Y,N,Y,Y,Y,Y,N,Y,15,0.40 ,0.50 ,0.60 ,1.20 ,0.90 ,9.60 ,4.7,https://revstudentliving.com, (979) 589-7141,"315 College Main St Suite 110, College Station, TX 77840"
REV,"1,1","$2,199.00",Y,Y,N,Y,Y,Y,Y,N,Y,15,0.40 ,0.50 ,0.60 ,1.20 ,0.90 ,9.60 ,4.7,https://revstudentliving.com, (979) 589-7141,"315 College Main St Suite 110, College Station, TX 77840"
REV,"0,0","$1,799.00",Y,Y,N,Y,Y,Y,Y,N,Y,15,0.40 ,0.50 ,0.60 ,1.20 ,0.90 ,9.60 ,4.7,https://revstudentliving.com, (979) 589-7141,"315 College Main St Suite 110, College Station, TX 77840"
Aspire College station,"6,6","$1,059.00",N,Y,N,Y,Y,Y,Y,Y,N,,0.40 ,0.60 ,0.30 ,1.30 ,1.00 ,9.70 ,4.4,https://www.aspirecollegestation.com, (979) 316-2853,"711 University Dr, College Station, TX 77840"
Aspire College station,"5,5","$1,019.00",N,Y,N,Y,Y,Y,Y,Y,N,,0.40 ,0.60 ,0.30 ,1.30 ,1.00 ,9.70 ,4.4,https://www.aspirecollegestation.com, (979) 316-2853,"711 University Dr, College Station, TX 77840"
Aspire College station,"4,4","$1,219.00",N,Y,N,Y,Y,Y,Y,Y,N,,0.40 ,0.60 ,0.30 ,1.30 ,1.00 ,9.70 ,4.4,https://www.aspirecollegestation.com, (979) 316-2853,"711 University Dr, College Station, TX 77840"
Aspire College station,"2,2","$1,479.00",N,Y,N,Y,Y,Y,Y,Y,N,,0.40 ,0.60 ,0.30 ,1.30 ,1.00 ,9.70 ,4.4,https://www.aspirecollegestation.com, (979) 316-2853,"711 University Dr, College Station, TX 77840"
Aspire College station,"1,1","$2,219.00",Y,Y,N,Y,Y,Y,Y,Y,N,,0.40 ,0.60 ,0.30 ,1.30 ,1.00 ,9.70 ,4.4,https://www.aspirecollegestation.com, (979) 316-2853,"711 University Dr, College Station, TX 77840"
The Stack,"4,4",$950.00,N,Y,N,Y,Y,Y,Y,Y,N,,0.55 ,0.70 ,0.30 ,1.40 ,1.10 ,9.80 ,3.6,https://stackstudentliving.com,(979) 314-7669,"711 Church Avenue
College Station, TX 77840"
The Stack,"3,3","$1,025.00",N,Y,N,Y,Y,Y,Y,Y,N,,0.55 ,0.70 ,0.30 ,1.40 ,1.10 ,9.80 ,3.6,https://stackstudentliving.com,(979) 314-7669,"711 Church Avenue
College Station, TX 77840"
The Stack,"2,2","$1,050.00",N,Y,N,Y,Y,Y,Y,Y,N,,0.55 ,0.70 ,0.30 ,1.40 ,1.10 ,9.80 ,3.6,https://stackstudentliving.com,(979) 314-7669,"711 Church Avenue
College Station, TX 77840"
The Stack,"1,1","$1,600.00",Y,Y,N,Y,Y,Y,Y,Y,N,,0.55 ,0.70 ,0.30 ,1.40 ,1.10 ,9.80 ,3.6,https://stackstudentliving.com,(979) 314-7669,"711 Church Avenue
College Station, TX 77840"
The Gardens at University Apartments,"2,2",$951.00,N,Y,N,Y,Y,Y,Y,Y,N,,0.55 ,0.70 ,0.30 ,1.40 ,1.10 ,9.80 ,3.8,https://reslife.tamu.edu,(888) 451-3896,"1100 Hensel Dr
Bryan, TX 77840
United States"
The Gardens at University Apartments,"2,1",$812.00,N,Y,N,Y,Y,Y,Y,Y,N,,0.55 ,0.70 ,0.30 ,1.40 ,1.10 ,9.80 ,3.8,https://reslife.tamu.edu,(888) 451-3896,"1100 Hensel Dr
Bryan, TX 77840
United States"
The Gardens at University Apartments,"1,1","$1,101.00",Y,Y,N,Y,Y,Y,Y,Y,N,,0.55 ,0.70 ,0.30 ,1.40 ,1.10 ,9.80 ,3.8,https://reslife.tamu.edu,(888) 451-3896,"1100 Hensel Dr
Bryan, TX 77840
United States"
Sonoma Apartment homes,"1,1",$895.00,Y,N,N,Y,Y,N,Y,Y,Y,"22,27",2.60 ,2.90 ,2.40 ,3.10 ,3.60 ,12.70 ,4.6,https://www.sonomaapartmenthomes.com/,979-696-7275,1903 Dartmouth St
Sonoma Apartment homes,"2,1",$950.00,Y,N,N,Y,Y,N,Y,Y,Y,"22,27",2.60 ,2.90 ,2.40 ,3.10 ,3.60 ,12.70 ,4.6,https://www.sonomaapartmenthomes.com/,979-696-7275,1903 Dartmouth St
Sonoma Apartment homes,"2,2",$995.00,Y,N,N,Y,Y,N,Y,Y,Y,"22,27",2.60 ,2.90 ,2.40 ,3.10 ,3.60 ,12.70 ,4.6,https://www.sonomaapartmenthomes.com/,979-696-7275,1903 Dartmouth St
Sonoma Apartment homes,"2,2","$1,095.00",Y,N,N,Y,Y,Y,Y,Y,Y,"22,27",2.60 ,2.90 ,2.40 ,3.10 ,3.60 ,12.70 ,4.6,https://www.sonomaapartmenthomes.com/,979-696-7275,1903 Dartmouth St
Lofts at Wolf Pen Creek,"1,1",,N,Y,N,Y,Y,Y,Y,Y,Y,27,2.70 ,3.00 ,2.50 ,3.20 ,3.70 ,15.80 ,3.8,https://www.loftsatwolfpen.com/?utm_source=google&utm_medium=google%20my%20business&utm_campaign=website%20button,979-314-1900,614 Holleman Dr E
Lofts at Wolf Pen Creek,"2,2",,N,Y,N,Y,Y,Y,Y,Y,Y,27,2.70 ,3.00 ,2.50 ,3.20 ,3.70 ,15.80 ,3.8,https://www.loftsatwolfpen.com/?utm_source=google&utm_medium=google%20my%20business&utm_campaign=website%20button,979-314-1900,614 Holleman Dr E
Lofts at Wolf Pen Creek,"2,3",,N,Y,N,Y,Y,Y,Y,Y,Y,27,2.70 ,3.00 ,2.50 ,3.20 ,3.70 ,15.80 ,3.8,https://www.loftsatwolfpen.com/?utm_source=google&utm_medium=google%20my%20business&utm_campaign=website%20button,979-314-1900,614 Holleman Dr E
Lofts at Wolf Pen Creek,"3,3",,N,Y,N,Y,Y,Y,Y,Y,Y,27,2.70 ,3.00 ,2.50 ,3.20 ,3.70 ,15.80 ,3.8,https://www.loftsatwolfpen.com/?utm_source=google&utm_medium=google%20my%20business&utm_campaign=website%20button,979-314-1900,614 Holleman Dr E
Lofts at Wolf Pen Creek,"4,4",,N,Y,N,Y,Y,Y,Y,Y,Y,27,2.70 ,3.00 ,2.50 ,3.20 ,3.70 ,15.80 ,3.8,https://www.loftsatwolfpen.com/?utm_source=google&utm_medium=google%20my%20business&utm_campaign=website%20button,979-314-1900,614 Holleman Dr E
Arbors at Wolf Pen Creek,"1,1","$1,099.00",Y,N,N,Y,Y,Y,Y,Y,Y,27,2.50 ,3.20 ,2.50 ,3.00 ,3.50 ,12.50 ,2.6,https://www.myarbors.com/,979-325-2175,301 Holleman Drive
Arbors at Wolf Pen Creek,"2,2","$1,369.00",Y,N,N,Y,Y,Y,Y,Y,Y,27,2.50 ,3.20 ,2.50 ,3.00 ,3.50 ,12.50 ,2.6,https://www.myarbors.com/,979-325-2175,301 Holleman Drive
Arbors at Wolf Pen Creek,"3,2","$1,549.00",Y,N,N,Y,Y,Y,Y,Y,Y,27,2.50 ,3.20 ,2.50 ,3.00 ,3.50 ,12.50 ,2.6,https://www.myarbors.com/,979-325-2175,301 Holleman Drive
The Ridge,"1,1",$935.00,Y,N,N,Y,Y,Y,Y,Y,Y,26,3.20 ,3.90 ,3.20 ,3.60 ,4.20 ,14.30 ,3.9,https://www.ridgeapartments.com/,979-314-0997,2250 Dartmouth St
The Ridge,"2,1","$1,109.00",Y,N,N,Y,Y,Y,Y,Y,Y,26,3.20 ,3.90 ,3.20 ,3.60 ,4.20 ,14.30 ,3.9,https://www.ridgeapartments.com/,979-314-0997,2250 Dartmouth St
The Ridge,"2,2","$1,119.00",Y,N,N,Y,Y,Y,Y,Y,Y,26,3.20 ,3.90 ,3.20 ,3.60 ,4.20 ,14.30 ,3.9,https://www.ridgeapartments.com/,979-314-0997,2250 Dartmouth St
The Ridge,"3,2","$1,369.00",Y,N,N,Y,Y,Y,Y,Y,Y,26,3.20 ,3.90 ,3.20 ,3.60 ,4.20 ,14.30 ,3.9,https://www.ridgeapartments.com/,979-314-0997,2250 Dartmouth St
The Trails at Wolf Pen,"1,1",$969.00,Y,N,N,Y,Y,Y,Y,Y,Y,26,3.50 ,4.20 ,3.40 ,3.90 ,4.50 ,14.40 ,3.0,https://www.thetrailsatwolfpencreek.com/,933-360-2616,950 Colgate Dr
The Trails at Wolf Pen,"2,1.5",$579.00,N,N,N,Y,Y,Y,Y,Y,Y,26,3.50 ,4.20 ,3.40 ,3.90 ,4.50 ,14.40 ,3.0,https://www.thetrailsatwolfpencreek.com/,933-360-2616,950 Colgate Dr
The Trails at Wolf Pen,"2,1.5","$1,158.00",Y,N,N,Y,Y,Y,Y,Y,Y,26,3.50 ,4.20 ,3.40 ,3.90 ,4.50 ,14.40 ,3.0,https://www.thetrailsatwolfpencreek.com/,933-360-2616,950 Colgate Dr
The Trails at Wolf Pen,"2,2",$629.00,N,N,N,Y,Y,Y,Y,Y,Y,26,3.50 ,4.20 ,3.40 ,3.90 ,4.50 ,14.40 ,3.0,https://www.thetrailsatwolfpencreek.com/,933-360-2616,950 Colgate Dr
The Trails at Wolf Pen,"2,2","$1,258.00",Y,N,N,Y,Y,Y,Y,Y,Y,26,3.50 ,4.20 ,3.40 ,3.90 ,4.50 ,14.40 ,3.0,https://www.thetrailsatwolfpencreek.com/,933-360-2616,950 Colgate Dr
The Trails at Wolf Pen,"4,2",$409.00,N,N,N,Y,Y,Y,Y,Y,Y,26,3.50 ,4.20 ,3.40 ,3.90 ,4.50 ,14.40 ,3.0,https://www.thetrailsatwolfpencreek.com/,933-360-2616,950 Colgate Dr
The Trails at Wolf Pen,"4,2","$1,636.00",Y,N,N,Y,Y,Y,Y,Y,Y,26,3.50 ,4.20 ,3.40 ,3.90 ,4.50 ,14.40 ,3.0,https://www.thetrailsatwolfpencreek.com/,933-360-2616,950 Colgate Dr
Parcside Townhomes,"2,2","$1,109.00",Y,N,N,Y,Y,Y,Y,Y,Y,26,3.50 ,4.20 ,3.40 ,"3,9","4,5",14.40 ,3.7,https://www.parcsidetownhomes.com/?utm_source=GoogleLocalListing&utm_medium=organic,979-378-6243,2500 Central Park Ln
Parcside Townhomes,"3,2","$1,223.00",Y,N,N,Y,Y,Y,Y,Y,Y,26,3.50 ,4.20 ,3.40 ,"3,9","4,5",14.40 ,3.7,https://www.parcsidetownhomes.com/?utm_source=GoogleLocalListing&utm_medium=organic,979-378-6243,2500 Central Park Ln
The Point on Redmond,"1,1",,Y,N,N,Y,Y,Y,N,Y,Y,27,2.70 ,2.50 ,1.90 ,2.20 ,2.80 ,12.00 ,3.7,https://www.pointonredmond.com/,979-364-4109,309 Redmond dr
The Point on Redmond,"2,1",$905.00,Y,N,N,Y,Y,Y,N,Y,Y,27,2.70 ,2.50 ,1.90 ,2.20 ,2.80 ,12.00 ,3.7,https://www.pointonredmond.com/,979-364-4109,309 Redmond dr
The Point on Redmond,"2,1.5",$905.00,Y,N,N,Y,Y,Y,N,Y,Y,27,2.70 ,2.50 ,1.90 ,2.20 ,2.80 ,12.00 ,3.7,https://www.pointonredmond.com/,979-364-4109,309 Redmond dr
The Point on Redmond,"3,2",,Y,N,N,Y,Y,Y,N,Y,Y,27,2.70 ,2.50 ,1.90 ,2.20 ,2.80 ,12.00 ,3.7,https://www.pointonredmond.com/,979-364-4109,309 Redmond dr
Redstone,"2,1",$769.00,Y,N,N,Y,Y,N,Y,Y,Y,26,3.30 ,3.20 ,2.70 ,2.90 ,3.50 ,13.80 ,3.1,https://www.liveatredstonecollegestation.com/,979-696-1848,1301 Barthelow Dr
Redstone,"2,1",$799.00,Y,N,N,Y,Y,Y,Y,Y,Y,26,3.30 ,3.20 ,2.70 ,2.90 ,3.50 ,13.80 ,3.1,https://www.liveatredstonecollegestation.com/,979-696-1848,1301 Barthelow Dr
Arbor Square,"1,1",$749.00,Y,N,N,Y,Y,N,Y,Y,Y,26,3.30 ,3.20 ,2.80 ,2.90 ,3.50 ,13.20 ,2.8,https://www.liveatarborsquarecollegestation.com/,979-693-3701,1700 Southwest Pkwy
Arbor Square,"2,2",$849.00,Y,N,N,Y,Y,N,Y,Y,Y,26,3.30 ,3.20 ,2.80 ,2.90 ,3.50 ,13.20 ,2.8,https://www.liveatarborsquarecollegestation.com/,979-693-3701,1700 Southwest Pkwy
Dwell @ 1600,"1,1",$810.00,Y,N,N,Y,Y,N,N,Y,Y,26,3.20 ,3.20 ,3.20 ,2.90 ,3.50 ,13.10 ,3.8,https://www.dwellat1600.com/?utm_knock=gmb,972-645-2815,1600 Southwest Pkwy
