Apartment_Name,Apartment_Price,Complete Unit,Furnished,Utilities_included,Pet Friendly,Gym_and_Pool,In-Unit Laundry,Recreation areas,Free Parking,Apartment_Bus_stop,Apartment_Bus_no.,Fishpond,MSC,Zachary_Engineering,Reed Arena,Mays Business School,Rellis,Overall,Website,Contact No.,Address,Bedroom,Bathroom
Aspire College station,1479,0,1,0,1,1,1,1,1,0,0,0.4,0.6,0.3,1.3,1.0,9.7,4.4,https://www.aspirecollegestation.com, (979) 316-2853,"711 University Dr, College Station, TX 77840",2,2.0
Aspire College station,2219,1,1,0,1,1,1,1,1,0,0,0.4,0.6,0.3,1.3,1.0,9.7,4.4,https://www.aspirecollegestation.com, (979) 316-2853,"711 University Dr, College Station, TX 77840",1,1.0
The Stack,950,0,1,0,1,1,1,1,1,0,0,0.55,0.7,0.3,1.4,1.1,9.8,3.6,https://stackstudentliving.com,(979) 314-7669,"711 Church Avenue
College Station, TX 77840",4,4.0
The Stack,1025,0,1,0,1,1,1,1,1,0,0,0.55,0.7,0.3,1.4,1.1,9.8,3.6,https://stackstudentliving.com,(979) 314-7669,"711 Church Avenue
College Station, TX 77840",3,3.0
The Stack,1050,0,1,0,1,1,1,1,1,0,0,0.55,0.7,0.3,1.4,1.1,9.8,3.6,https://stackstudentliving.com,(979) 314-7669,"711 Church Avenue
College Station, TX 77840",2,2.0
The Stack,1600,1,1,0,1,1,1,1,1,0,0,0.55,0.7,0.3,1.4,1.1,9.8,3.6,https://stackstudentliving.com,(979) 314-7669,"711 Church Avenue
College Station, TX 77840",1,1.0
The Gardens at University Apartments,951,0,1,0,1,1,1,1,1,0,0,0.55,0.7,0.3,1.4,1.1,9.8,3.8,https://reslife.tamu.edu,(888) 451-3896,"1100 Hensel Dr
Bryan, TX 77840
United States",2,2.0
The Gardens at University Apartments,812,0,1,0,1,1,1,1,1,0,0,0.55,0.7,0.3,1.4,1.1,9.8,3.8,https://reslife.tamu.edu,(888) 451-3896,"1100 Hensel Dr
Bryan, TX 77840
United States",2,1.0
The Gardens at University Apartments,1101,1,1,0,1,1,1,1,1,0,0,0.55,0.7,0.3,1.4,1.1,9.8,3.8,https://reslife.tamu.edu,(888) 451-3896,"1100 Hensel Dr
Bryan, TX 77840
United States",1,1.0
Sonoma Apartment homes,895,1,0,0,1,1,0,1,1,1,22,2.6,2.9,2.4,3.1,3.6,12.7,4.6,https://www.sonomaapartmenthomes.com/,979-696-7275,1903 Dartmouth St,1,1.0
Sonoma Apartment homes,950,1,0,0,1,1,0,1,1,1,22,2.6,2.9,2.4,3.1,3.6,12.7,4.6,https://www.sonomaapartmenthomes.com/,979-696-7275,1903 Dartmouth St,2,1.0
Sonoma Apartment homes,995,1,0,0,1,1,0,1,1,1,22,2.6,2.9,2.4,3.1,3.6,12.7,4.6,https://www.sonomaapartmenthomes.com/,979-696-7275,1903 Dartmouth St,2,2.0
Sonoma Apartment homes,1095,1,0,0,1,1,1,1,1,1,22,2.6,2.9,2.4,3.1,3.6,12.7,4.6,https://www.sonomaapartmenthomes.com/,979-696-7275,1903 Dartmouth St,2,2.0
Lofts at Wolf Pen Creek,1399,0,1,0,1,1,1,1,1,1,27,2.7,3.0,2.5,3.2,3.7,15.8,3.8,https://www.loftsatwolfpen.com,979-314-1900,614 Holleman Dr E,1,1.0
Lofts at Wolf Pen Creek,849,0,1,0,1,1,1,1,1,1,27,2.7,3.0,2.5,3.2,3.7,15.8,3.8,https://www.loftsatwolfpen.com,979-314-1900,614 Holleman Dr E,2,2.0
Lofts at Wolf Pen Creek,849,0,1,0,1,1,1,1,1,1,27,2.7,3.0,2.5,3.2,3.7,15.8,3.8,https://www.loftsatwolfpen.com,979-314-1900,614 Holleman Dr E,2,2.5
Lofts at Wolf Pen Creek,789,0,1,0,1,1,1,1,1,1,27,2.7,3.0,2.5,3.2,3.7,15.8,3.8,https://www.loftsatwolfpen.com,979-314-1900,614 Holleman Dr E,3,3.0
Lofts at Wolf Pen Creek,439,0,1,0,1,1,1,1,1,1,27,2.7,3.0,2.5,3.2,3.7,15.8,3.8,https://www.loftsatwolfpen.com,979-314-1900,614 Holleman Dr E,4,2.0
Lofts at Wolf Pen Creek,709,0,1,0,1,1,1,1,1,1,27,2.7,3.0,2.5,3.2,3.7,15.8,3.8,https://www.loftsatwolfpen.com,979-314-1900,614 Holleman Dr E,4,4.0
Arbors at Wolf Pen Creek,1099,1,0,0,1,1,1,1,1,1,27,2.5,3.2,2.5,3.0,3.5,12.5,2.6,https://www.myarbors.com/,979-325-2175,301 Holleman Drive,1,1.0
Arbors at Wolf Pen Creek,1369,1,0,0,1,1,1,1,1,1,27,2.5,3.2,2.5,3.0,3.5,12.5,2.6,https://www.myarbors.com/,979-325-2175,301 Holleman Drive,2,2.0
Arbors at Wolf Pen Creek,1549,1,0,0,1,1,1,1,1,1,27,2.5,3.2,2.5,3.0,3.5,12.5,2.6,https://www.myarbors.com/,979-325-2175,301 Holleman Drive,3,2.0
The Ridge,935,1,0,0,1,1,1,1,1,1,26,3.2,3.9,3.2,3.6,4.2,14.3,3.9,https://www.ridgeapartments.com/,979-314-0997,2250 Dartmouth St,1,1.0
The Ridge,1109,1,0,0,1,1,1,1,1,1,26,3.2,3.9,3.2,3.6,4.2,14.3,3.9,https://www.ridgeapartments.com/,979-314-0997,2250 Dartmouth St,2,1.0
The Ridge,1119,1,0,0,1,1,1,1,1,1,26,3.2,3.9,3.2,3.6,4.2,14.3,3.9,https://www.ridgeapartments.com/,979-314-0997,2250 Dartmouth St,2,2.0
The Ridge,1369,1,0,0,1,1,1,1,1,1,26,3.2,3.9,3.2,3.6,4.2,14.3,3.9,https://www.ridgeapartments.com/,979-314-0997,2250 Dartmouth St,3,2.0
The Trails at Wolf Pen,969,1,0,0,1,1,1,1,1,1,26,3.5,4.2,3.4,3.9,4.5,14.4,3.0,https://www.thetrailsatwolfpencreek.com/,933-360-2616,950 Colgate Dr,1,1.0
The Trails at Wolf Pen,579,0,0,0,1,1,1,1,1,1,26,3.5,4.2,3.4,3.9,4.5,14.4,3.0,https://www.thetrailsatwolfpencreek.com/,933-360-2616,950 Colgate Dr,2,1.5
The Trails at Wolf Pen,1158,1,0,0,1,1,1,1,1,1,26,3.5,4.2,3.4,3.9,4.5,14.4,3.0,https://www.thetrailsatwolfpencreek.com/,933-360-2616,950 Colgate Dr,2,1.5
The Trails at Wolf Pen,629,0,0,0,1,1,1,1,1,1,26,3.5,4.2,3.4,3.9,4.5,14.4,3.0,https://www.thetrailsatwolfpencreek.com/,933-360-2616,950 Colgate Dr,2,2.0
The Trails at Wolf Pen,1258,1,0,0,1,1,1,1,1,1,26,3.5,4.2,3.4,3.9,4.5,14.4,3.0,https://www.thetrailsatwolfpencreek.com/,933-360-2616,950 Colgate Dr,2,2.0
The Trails at Wolf Pen,409,0,0,0,1,1,1,1,1,1,26,3.5,4.2,3.4,3.9,4.5,14.4,3.0,https://www.thetrailsatwolfpencreek.com/,933-360-2616,950 Colgate Dr,4,2.0
The Trails at Wolf Pen,1636,1,0,0,1,1,1,1,1,1,26,3.5,4.2,3.4,3.9,4.5,14.4,3.0,https://www.thetrailsatwolfpencreek.com/,933-360-2616,950 Colgate Dr,4,2.0
Parcside Townhomes,1109,1,0,0,1,1,1,1,1,1,26,3.5,4.2,3.4,3.9,4.5,14.4,3.7,https://www.parcsidetownhomes.com/,979-378-6243,2500 Central Park Ln,2,2.0
Parcside Townhomes,1223,1,0,0,1,1,1,1,1,1,26,3.5,4.2,3.4,3.9,4.5,14.4,3.7,https://www.parcsidetownhomes.com/,979-378-6243,2500 Central Park Ln,3,2.0
The Point on Redmond,905,1,0,0,1,1,1,0,1,1,27,2.7,2.5,1.9,2.2,2.8,12.0,3.7,https://www.pointonredmond.com/,979-364-4109,309 Redmond dr,2,1.0
The Point on Redmond,905,1,0,0,1,1,1,0,1,1,27,2.7,2.5,1.9,2.2,2.8,12.0,3.7,https://www.pointonredmond.com/,979-364-4109,309 Redmond dr,2,1.5
Redstone,769,1,0,0,1,1,0,1,1,1,26,3.3,3.2,2.7,2.9,3.5,13.8,3.1,https://www.liveatredstonecollegestation.com/,979-696-1848,1301 Barthelow Dr,2,1.0
Redstone,799,1,0,0,1,1,1,1,1,1,26,3.3,3.2,2.7,2.9,3.5,13.8,3.1,https://www.liveatredstonecollegestation.com/,979-696-1848,1301 Barthelow Dr,2,1.0
Arbor Square,749,1,0,0,1,1,0,1,1,1,26,3.3,3.2,2.8,2.9,3.5,13.2,2.8,https://www.liveatarborsquarecollegestation.com/,979-693-3701,1700 Southwest Pkwy,1,1.0
Arbor Square,849,1,0,0,1,1,0,1,1,1,26,3.3,3.2,2.8,2.9,3.5,13.2,2.8,https://www.liveatarborsquarecollegestation.com/,979-693-3701,1700 Southwest Pkwy,2,2.0
Dwell @ 1600,810,1,0,0,1,1,0,0,1,1,26,3.2,3.2,3.2,2.9,3.5,13.1,3.8,https://www.dwellat1600.com/,972-645-2815,1600 Southwest Pkwy,1,1.0
Dwell @ 1600,925,1,0,0,1,1,0,0,1,1,26,3.2,3.2,3.2,2.9,3.5,13.1,3.8,https://www.dwellat1600.com/,972-645-2815,1600 Southwest Pkwy,2,1.5
Dwell @ 1600,980,1,0,0,1,1,0,0,1,1,26,3.2,3.2,3.2,2.9,3.5,13.1,3.8,https://www.dwellat1600.com/,972-645-2815,1600 Southwest Pkwy,2,2.0
Dwell @ 1600,1200,1,0,0,1,1,0,0,1,1,26,3.2,3.2,3.2,2.9,3.5,13.1,3.8,https://www.dwellat1600.com/,972-645-2815,1600 Southwest Pkwy,3,2.0
Midtown apartments,435,0,1,0,1,0,1,0,1,1,26,2.7,2.5,2.4,2.2,2.8,12.0,4.1,https://www.midtown-foxmeadows.com/,979-704-0860,"1612 F, Holleman Dr",4,2.0
Fox Meadows,1260,1,0,0,1,0,1,0,1,1,34,2.7,2.5,2.4,2.2,2.8,12.0,3.1,https://www.midtown-foxmeadows.com/,979-704-0860,"1612 F, Holleman Dr",3,2.0
Holleman Oaks Apartments,699,1,0,0,1,1,1,1,1,1,27,2.8,2.6,2.3,2.3,2.9,12.1,2.5,https://www.hollemanoaksapts.com/,979-271-6940,1501 Holleman Dr,1,1.0
Holleman Oaks Apartments,799,0,0,0,1,1,1,1,1,1,27,2.8,2.6,2.3,2.3,2.9,12.1,2.5,https://www.hollemanoaksapts.com/,979-271-6940,1501 Holleman Dr,2,2.0
Tower Park Apartments,850,1,0,1,1,1,0,1,1,1,27,2.7,2.5,2.2,2.2,2.8,12.0,3.3,http://www.towerparkapts.com/,979-314-0721,1601 Holleman Dr,1,1.0
Tower Park Apartments,1100,1,0,1,1,1,0,1,1,1,27,2.7,2.5,2.2,2.2,2.8,12.0,3.3,http://www.towerparkapts.com/,979-314-0721,1601 Holleman Dr,2,1.5
Tower Park Apartments,1300,1,0,1,1,1,0,1,1,1,27,2.7,2.5,2.2,2.2,2.8,12.0,3.3,http://www.towerparkapts.com/,979-314-0721,1601 Holleman Dr,2,2.0
Tower Park Apartments,1550,1,0,1,1,1,0,1,1,1,27,2.7,2.5,2.2,2.2,2.8,12.0,3.3,http://www.towerparkapts.com/,979-314-0721,1601 Holleman Dr,3,2.0
Park Place Apartments,99999,1,0,0,1,1,0,0,1,1,26,1.8,2.1,1.8,2.0,2.4,11.6,4.7,https://www.parkplacecollegestation.com/,979-693-2300,1505 Park Pl,1,1.0
Park Place Apartments,99999,1,0,0,1,1,0,0,1,1,26,1.8,2.1,1.8,2.0,2.4,11.6,4.7,https://www.parkplacecollegestation.com/,979-693-2300,1505 Park Pl,2,1.0
Scandia,759,1,0,0,1,1,0,1,1,1,27,1.9,2.2,1.9,1.9,2.5,11.7,2.7,https://www.liveatscandiacollegestation.com/,979-693-6505,401 Anderson St,1,1.0
Scandia,859,1,0,0,1,1,0,1,1,1,27,1.9,2.2,1.9,1.9,2.5,11.7,2.7,https://www.liveatscandiacollegestation.com/,979-693-6505,401 Anderson St,2,1.5
Scandia,919,1,0,0,1,1,0,1,1,1,27,1.9,2.2,1.9,1.9,2.5,11.7,2.7,https://www.liveatscandiacollegestation.com/,979-693-6505,401 Anderson St,2,2.0
Berkeley House at College Station,1219,0,0,0,1,1,1,1,1,1,36,1.5,1.3,2.0,1.0,1.6,10.8,3.8,https://www.liveberkeleyhouse.com/,979-314-2530,801 Wellborn Rd,1,1.0
Berkeley House at College Station,869,0,0,0,1,1,1,1,1,1,36,1.5,1.3,2.0,1.0,1.6,10.8,3.8,https://www.liveberkeleyhouse.com/,979-314-2530,801 Wellborn Rd,2,2.0
Berkeley House at College Station,819,0,0,0,1,1,1,1,1,1,36,1.5,1.3,2.0,1.0,1.6,10.8,3.8,https://www.liveberkeleyhouse.com/,979-314-2530,801 Wellborn Rd,3,3.0
Berkeley House at College Station,775,0,0,0,1,1,1,1,1,1,36,1.5,1.3,2.0,1.0,1.6,10.8,3.8,https://www.liveberkeleyhouse.com/,979-314-2530,801 Wellborn Rd,4,4.0
The Vintage at College Station,749,1,0,0,1,1,0,1,1,1,31,3.2,2.8,3.9,2.6,5.5,12.4,2.2,https://www.vintageatcollegestation.com/,979-693-0804,1101 Southwest Pkwy,1,1.0
The Vintage at College Station,849,1,0,0,1,1,0,1,1,1,31,3.2,2.8,3.9,2.6,5.5,12.4,2.2,https://www.vintageatcollegestation.com/,979-693-0804,1101 Southwest Pkwy,2,2.0
The Vintage at College Station,949,1,0,0,1,1,0,1,1,1,31,3.2,2.8,3.9,2.6,5.5,12.4,2.2,https://www.vintageatcollegestation.com/,979-693-0804,1101 Southwest Pkwy,2,1.5
The Grove at Southwood,920,1,0,0,1,1,1,1,1,1,31,2.7,2.5,2.8,2.3,5.3,12.2,3.3,http://www.grovesouthwood.com/,979-696-9771,603 Southwest Pkwy,2,2.0
Madison Pointe Apartments,885,1,0,0,1,1,1,1,1,1,31,2.6,2.4,3.2,2.6,4.8,11.7,4.0,https://adaraportal.yottareal.com/dba/dbahome?dbaid=54&dbaid=54,979-599-7173,503 Southwest Pkwy,1,1.0
Madison Pointe Apartments,998,1,0,0,1,1,1,1,1,1,31,2.6,2.4,3.2,2.6,4.8,11.7,4.0,https://adaraportal.yottareal.com/dba/dbahome?dbaid=54&dbaid=54,979-599-7173,503 Southwest Pkwy,2,1.5
Madison Pointe Apartments,1170,1,0,0,1,1,1,1,1,1,31,2.6,2.4,3.2,2.6,4.8,11.7,4.0,https://adaraportal.yottareal.com/dba/dbahome?dbaid=54&dbaid=54,979-599-7173,503 Southwest Pkwy,2,2.0
Madison Pointe Apartments,1399,1,0,0,1,1,1,1,1,1,31,2.6,2.4,3.2,2.6,4.8,11.7,4.0,https://adaraportal.yottareal.com/dba/dbahome?dbaid=54&dbaid=54,979-599-7173,503 Southwest Pkwy,3,2.0
Sausalito Apartments,852,1,0,0,1,1,0,1,1,1,22,3.1,2.9,2.4,3.1,3.6,12.5,3.4,https://www.thesausalitoapartments.com/floorplans,18335792602,"1001 Harvey Rd, College Station, TX 77840",1,1.0
Sausalito Apartments,872,1,0,0,1,1,0,1,1,1,22,3.1,2.9,2.4,3.1,3.6,12.5,3.4,https://www.thesausalitoapartments.com/floorplans,18335792602,"1002 Harvey Rd, College Station, TX 77840",1,1.0
